Black_Hair vs Chubby 0.557±0.058
Black_Hair vs Bald 0.562±0.056
Black_Hair vs Wearing_Earrings 0.551±0.057
Black_Hair vs Wavy_Hair 0.545±0.055
Black_Hair vs Receding_Hairline 0.545±0.056
Black_Hair vs Attractive 0.543±0.055
Black_Hair vs Sideburns 0.543±0.055
Black_Hair vs Goatee 0.544±0.055
Black_Hair vs Wearing_Hat 0.548±0.055
Black_Hair vs Pale_Skin 0.548±0.054
Black_Hair vs High_Cheekbones 0.546±0.054
Black_Hair vs Oval_Face 0.545±0.054
Black_Hair vs Arched_Eyebrows 0.544±0.054
Black_Hair vs Gray_Hair 0.544±0.053
Black_Hair vs Wearing_Necklace 0.543±0.053
Black_Hair vs Big_Lips 0.543±0.053
Black_Hair vs Wearing_Necktie 0.543±0.053
Black_Hair vs Blond_Hair 0.543±0.053
Black_Hair vs Rosy_Cheeks 0.541±0.053
Black_Hair vs Big_Nose 0.541±0.053
Black_Hair vs Mouth_Slightly_Open 0.541±0.053
Black_Hair vs Mustache 0.542±0.054
Black_Hair vs Male 0.541±0.054
Black_Hair vs Double_Chin 0.541±0.054
Black_Hair vs Bushy_Eyebrows 0.540±0.054
Black_Hair vs Eyeglasses 0.542±0.054
Black_Hair vs Bangs 0.542±0.054
Black_Hair vs Bags_Under_Eyes 0.541±0.054
Black_Hair vs Heavy_Makeup 0.541±0.054
Black_Hair vs Blurry 0.542±0.055
Black_Hair vs Young 0.542±0.054
Black_Hair vs Pointy_Nose 0.541±0.054
Black_Hair vs Brown_Hair 0.541±0.055
Black_Hair vs Narrow_Eyes 0.541±0.055
Black_Hair vs Smiling 0.541±0.054
Black_Hair vs 5_o_Clock_Shadow 0.541±0.054
Black_Hair vs Wearing_Lipstick 0.540±0.054
Black_Hair vs Straight_Hair 0.540±0.054
Black_Hair vs No_Beard 0.540±0.054
Chubby vs Bald 0.541±0.054
Chubby vs Wearing_Earrings 0.541±0.054
Chubby vs Wavy_Hair 0.542±0.054
Chubby vs Receding_Hairline 0.542±0.054
Chubby vs Attractive 0.542±0.054
Chubby vs Sideburns 0.542±0.054
Chubby vs Goatee 0.543±0.054
Chubby vs Wearing_Hat 0.544±0.054
Chubby vs Pale_Skin 0.544±0.054
Chubby vs High_Cheekbones 0.544±0.054
Chubby vs Oval_Face 0.544±0.054
Chubby vs Arched_Eyebrows 0.545±0.054
Chubby vs Gray_Hair 0.545±0.054
Chubby vs Wearing_Necklace 0.545±0.054
Chubby vs Big_Lips 0.545±0.053
Chubby vs Wearing_Necktie 0.545±0.053
Chubby vs Blond_Hair 0.545±0.053
Chubby vs Rosy_Cheeks 0.545±0.053
Chubby vs Big_Nose 0.545±0.053
Chubby vs Mouth_Slightly_Open 0.546±0.053
Chubby vs Mustache 0.546±0.053
Chubby vs Male 0.546±0.053
Chubby vs Double_Chin 0.546±0.053
Chubby vs Bushy_Eyebrows 0.546±0.053
Chubby vs Eyeglasses 0.547±0.053
Chubby vs Bangs 0.547±0.053
Chubby vs Bags_Under_Eyes 0.547±0.053
Chubby vs Heavy_Makeup 0.547±0.053
Chubby vs Blurry 0.548±0.053
Chubby vs Young 0.548±0.053
Chubby vs Pointy_Nose 0.548±0.053
Chubby vs Brown_Hair 0.548±0.053
Chubby vs Narrow_Eyes 0.548±0.053
Chubby vs Smiling 0.548±0.053
Chubby vs 5_o_Clock_Shadow 0.548±0.053
Chubby vs Wearing_Lipstick 0.548±0.053
Chubby vs Straight_Hair 0.548±0.053
Chubby vs No_Beard 0.548±0.053
Bald vs Wearing_Earrings 0.548±0.053
Bald vs Wavy_Hair 0.549±0.053
Bald vs Receding_Hairline 0.549±0.053
Bald vs Attractive 0.549±0.053
Bald vs Sideburns 0.549±0.053
Bald vs Goatee 0.549±0.053
Bald vs Wearing_Hat 0.550±0.053
Bald vs Pale_Skin 0.550±0.053
Bald vs High_Cheekbones 0.551±0.053
Bald vs Oval_Face 0.551±0.053
Bald vs Arched_Eyebrows 0.551±0.053
Bald vs Gray_Hair 0.551±0.053
Bald vs Wearing_Necklace 0.551±0.053
Bald vs Big_Lips 0.551±0.053
Bald vs Wearing_Necktie 0.551±0.053
Bald vs Blond_Hair 0.552±0.053
Bald vs Rosy_Cheeks 0.552±0.053
Bald vs Big_Nose 0.552±0.053
Bald vs Mouth_Slightly_Open 0.552±0.052
Bald vs Mustache 0.552±0.053
Bald vs Male 0.552±0.053
Bald vs Double_Chin 0.552±0.053
Bald vs Bushy_Eyebrows 0.552±0.053
Bald vs Eyeglasses 0.553±0.053
Bald vs Bangs 0.553±0.053
Bald vs Bags_Under_Eyes 0.553±0.053
Bald vs Heavy_Makeup 0.553±0.053
Bald vs Blurry 0.554±0.053
Bald vs Young 0.554±0.053
Bald vs Pointy_Nose 0.554±0.053
Bald vs Brown_Hair 0.554±0.053
Bald vs Narrow_Eyes 0.554±0.053
Bald vs Smiling 0.554±0.053
Bald vs 5_o_Clock_Shadow 0.554±0.053
Bald vs Wearing_Lipstick 0.555±0.053
Bald vs Straight_Hair 0.555±0.053
Bald vs No_Beard 0.555±0.053
Wearing_Earrings vs Wavy_Hair 0.555±0.053
Wearing_Earrings vs Receding_Hairline 0.555±0.053
Wearing_Earrings vs Attractive 0.554±0.053
Wearing_Earrings vs Sideburns 0.555±0.053
Wearing_Earrings vs Goatee 0.555±0.053
Wearing_Earrings vs Wearing_Hat 0.555±0.053
Wearing_Earrings vs Pale_Skin 0.555±0.053
Wearing_Earrings vs High_Cheekbones 0.555±0.053
Wearing_Earrings vs Oval_Face 0.555±0.053
Wearing_Earrings vs Arched_Eyebrows 0.554±0.053
