5_o_Clock_Shadow Arched_Eyebrows Attractive Bags_Under_Eyes Bald Bangs Big_Lips Big_Nose Black_Hair Blond_Hair Blurry Brown_Hair Bushy_Eyebrows Chubby Double_Chin Eyeglasses Goatee Gray_Hair Heavy_Makeup High_Cheekbones Male Mouth_Slightly_Open Mustache Narrow_Eyes No_Beard Oval_Face Pale_Skin Pointy_Nose Receding_Hairline Rosy_Cheeks Sideburns Smiling Straight_Hair Wavy_Hair Wearing_Earrings Wearing_Hat Wearing_Lipstick Wearing_Necklace Wearing_Necktie Young
Double_Chin 11.89296 100.51450 79.12786 15.98502 13.95972 81.75671 68.60810 11.56319 40.34912 115.62122 45.74096 68.25311 26.09322 2.85975 0 24.71429 12.79751 8.36477 120.87707 54.27846 9.30732 47.31362 11.65055 45.19940 58.92913 54.88211 81.75709 71.92980 17.07673 110.14241 12.67122 46.62217 40.62749 89.46550 93.18545 74.29453 115.04761 98.83305 26.09269 60.73875
Eyeglasses 26.93904 96.90194 76.38468 32.04095 39.34513 77.46960 64.03341 21.67457 43.81317 108.15483 41.42067 65.81551 38.60022 20.74358 24.71429 0 22.43995 33.42255 114.69887 57.82427 22.32064 48.41396 21.23901 49.22164 56.37997 56.48004 76.32597 69.82207 29.46352 109.88963 25.34149 50.48610 44.64128 83.74872 88.01692 66.81274 108.06932 90.99867 60.92787 56.87537
Goatee 6.38524 105.28317 84.51000 20.50980 18.66994 86.53960 70.45539 13.23575 40.73370 121.70499 40.38035 71.99417 27.21820 8.27911 12.79751 22.43995 0 23.17612 124.98967 61.13472 5.41757 51.33471 2.55609 48.61921 62.84202 60.20848 86.76999 77.37941 22.60088 117.27303 2.29170 53.78018 46.00882 95.01469 95.03843 56.95602 118.59594 101.67404 48.39303 61.43528
Gray_Hair 20.47702 108.49130 86.93216 21.39174 15.49361 86.05535 78.61747 20.53235 51.56422 115.96872 51.15229 74.99130 36.27411 11.48537 8.36477 33.42255 23.17612 0 127.81896 62.30753 16.82101 56.35250 21.74940 52.20845 66.71766 63.77046 86.67165 79.06211 22.94153 117.88565 21.17074 55.15754 46.82949 94.93063 102.70989 93.69782 122.02755 106.53707 25.58374 70.03337
Heavy_Makeup 113.51196 3.08451 10.49496 75.19124 149.23703 14.17109 16.79096 79.75824 47.78091 13.00075 57.13630 20.08727 62.06055 117.21291 120.87707 114.69887 124.98967 127.81896 0 23.66841 109.94092 31.37864 125.61140 36.77908 21.47190 25.06963 16.54361 13.52257 77.11250 5.12542 123.70110 29.31162 41.13698 8.15850 6.12633 140.99771 0.31599 4.95867 157.12130 22.49173
High_Cheekbones 51.36074 12.48070 5.03637 20.40530 82.24889 11.85287 4.43862 23.95320 13.05045 24.46515 20.44089 4.42367 15.96177 51.39473 54.27846 57.82427 61.13472 62.30753 23.66841 0 47.48817 1.71900 62.56287 4.82132 2.00592 1.22961 13.32574 3.87139 23.64424 20.33467 60.33332 0.63903 6.16617 9.59402 11.38194 92.84327 20.59986 14.11765 98.15791 2.94296
Male 2.40620 90.45726 69.76748 10.27590 17.00991 71.06005 58.62822 6.98109 29.39232 106.70936 31.79387 57.63128 17.17942 5.89026 9.30732 22.32064 5.41757 16.82101 109.94092 47.48817 0 38.75399 6.05736 35.47942 48.78961 46.79080 71.45748 63.91543 13.74439 103.45569 5.49711 40.99206 32.04120 81.20576 80.66855 59.64366 103.72081 88.60917 40.39792 48.52589
Mouth_Slightly_Open 43.68126 18.27326 8.97409 15.95771 73.74368 15.81376 5.32623 18.00144 10.71774 30.34142 14.99591 6.39402 12.74328 43.21154 47.31362 48.41396 51.33471 56.35250 31.37864 1.71900 38.75399 0 52.93052 2.62797 2.13990 2.22540 16.29699 6.83499 18.63315 29.16129 51.49422 1.46015 5.06052 14.33447 15.06555 79.88686 27.55991 18.93901 92.73641 2.43757
Mustache 7.93037 105.97863 85.28240 21.13479 18.77806 86.53623 71.05723 13.33527 40.99804 123.14535 41.48413 73.60351 28.03718 7.29013 11.65055 21.23901 2.55609 21.74940 125.61140 62.56287 6.05736 52.93052 0 49.70513 63.53809 61.74427 86.14612 78.09842 23.00120 118.72244 4.04622 55.10425 46.77557 95.81495 96.15062 56.52473 119.26691 102.79281 45.14452 62.68717
Narrow_Eyes 41.10178 22.49726 12.87060 12.81777 69.85628 18.06063 8.62872 16.70005 10.92166 35.79559 13.05170 9.49715 11.51437 40.53495 45.19940 49.22164 48.61921 52.20845 36.77908 4.82132 35.47942 2.62797 49.70513 0 4.57943 6.05595 17.84108 10.29057 17.32341 35.80093 47.84555 4.49658 6.12763 18.30697 19.59612 78.33722 32.77115 24.24713 89.42288 5.06267
